#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1,F1 nivel4,F1 promedio
47,64,64,4,3,64,64,0.1,1e-05,0.001,0.2869986168741357,0.6312500000000001,0.7383612662942272,0.6586206896551724,0.48634163208852,0.736111111111111,0.7979515828677839,0.767816091954023,"[240, 179, 145, 113]",0.3609779160594426,0.709038872988969,0.5350083945242058
39,128,64,4,2,128,64,0.0,0.0001,0.001,0.3775933609958503,0.6113360323886637,0.7424242424242422,0.5712788259958071,0.4984439834024896,0.7550607287449392,0.8422459893048129,0.7232704402515724,"[247, 187, 159, 116]",0.4296829128679837,0.6383520484811448,0.5340174806745642
57,64,128,4,3,128,128,0.1,0.0001,0.001,0.3160442600276625,0.5779569892473118,0.734313725490196,0.6119402985074627,0.4991355463347164,0.6814516129032258,0.7803921568627452,0.7649253731343284,"[248, 170, 134, 103]",0.3870285381547663,0.6799336650082919,0.5334811015815291
45,128,64,3,2,64,64,0.1,0.0001,0.001,0.3540802213001385,0.646074646074646,0.7588832487309645,0.5778443113772455,0.5235131396957123,0.7586872586872587,0.8316412859560068,0.7175648702594811,"[259, 197, 167, 121]",0.4224408629223086,0.6401695837908159,0.5313052233565623
42,32,128,4,3,128,128,0.2,1e-05,0.001,0.3278008298755189,0.5979591836734692,0.7316384180790959,0.6219239373601789,0.4963692946058091,0.717687074829932,0.8258003766478342,0.7181208053691275,"[245, 177, 149, 107]",0.3948463111275915,0.6665695622458011,0.5307079366866962
30,64,64,3,3,64,128,0.1,1e-05,0.001,0.318118948824343,0.6494252873563218,0.7456140350877192,0.6103448275862067,0.4680152143845089,0.7349137931034483,0.8343079922027291,0.7735632183908046,"[232, 171, 145, 114]",0.3787763336122702,0.6823290182151448,0.5305526759137075
46,128,128,4,3,128,64,0.0,0.0001,0.001,0.280774550484094,0.6225071225071225,0.696360153256705,0.6717171717171717,0.4725103734439834,0.7421652421652422,0.742337164750958,0.744949494949495,"[234, 174, 132, 100]",0.3522409210342111,0.7064405192747438,0.5293407201544775
46,64,64,3,3,64,128,0.0,0.0001,0.001,0.2987551867219915,0.5420168067226891,0.7489451476793247,0.6330749354005167,0.4795988934993084,0.6617647058823529,0.8016877637130801,0.7545219638242894,"[238, 158, 129, 99]",0.368168319843094,0.6884837286292399,0.5283260242361669
63,32,64,3,2,128,64,0.1,0.0001,0.001,0.3264177040110649,0.6168032786885247,0.7312734082397004,0.6048565121412803,0.4899723374827109,0.7264344262295082,0.8380149812734083,0.7086092715231789,"[244, 178, 151, 109]",0.3918118480166701,0.6526350937726084,0.5222234708946393
38,32,64,4,3,128,64,0.0,1e-05,0.001,0.2904564315352695,0.6579301075268817,0.7548500881834215,0.6361655773420479,0.4984439834024896,0.7567204301075269,0.8042328042328042,0.6949891067538126,"[248, 189, 153, 108]",0.3670330449775069,0.6642776404979158,0.5156553427377113
