#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1,F1 nivel1
31,64,128,3,2,64,64,0.1,0.0001,0.001,0.4778699861687413,0.6892655367231635,0.7222222222222224,0.6411483253588516,0.5918510834485938,0.8008474576271186,0.8776371308016878,0.8229665071770335,"[295, 237, 209, 173]",0.1217150760719228,0.3440525587828492,0.1782849239280774,0.52878806839377
22,64,128,3,2,128,128,0.1,0.0001,0.001,0.4834024896265561,0.7136752136752136,0.7111553784860555,0.588836477987421,0.6250461041954818,0.8036858974358975,0.8426294820717132,0.8136792452830188,"[312, 251, 212, 174]",0.121023513139696,0.3450899031811894,0.1778699861687413,0.5451742996175173
26,128,128,3,2,64,64,0.1,0.0001,0.001,0.4543568464730291,0.7391304347826086,0.7733860342555996,0.5825892857142855,0.5977293683725218,0.8419732441471572,0.883399209486166,0.7589285714285714,"[299, 253, 224, 172]",0.1203319502074691,0.3388658367911479,0.1760027662517289,0.516274098122127
34,64,64,2,2,64,64,0.2,1e-05,0.001,0.4598893499308437,0.7180365296803655,0.7520833333333337,0.5777777777777776,0.5904679575841402,0.8175228310502283,0.8652777777777777,0.7976190476190477,"[292, 240, 210, 169]",0.1189488243430155,0.3365836791147994,0.1739280774550484,0.5170620001889012
35,64,64,2,3,128,128,0.2,0.0001,0.001,0.4744121715076071,0.7098976109215017,0.7551440329218105,0.569314641744548,0.5921968649147072,0.8244027303754267,0.8731138545953361,0.7710280373831776,"[293, 243, 214, 166]",0.1175656984785618,0.3260258183494698,0.1704356846473028,0.5268010884035779
28,64,64,2,3,64,128,0.2,1e-05,0.001,0.4495159059474413,0.7253521126760561,0.7160228898426322,0.6092233009708736,0.5744467496542185,0.8177816901408451,0.8776824034334764,0.7985436893203883,"[284, 233, 206, 166]",0.1161825726141081,0.3274550484094052,0.1699861687413554,0.5043600949248535
19,64,128,3,2,128,128,0.2,0.0001,0.001,0.490318118948824,0.7322222222222218,0.7462585034013606,0.4999999999999997,0.6042992162286769,0.8135,0.8734693877551021,0.7592592592592593,"[300, 245, 216, 166]",0.1147994467496544,0.3256108805901337,0.1680497925311203,0.5413743149526247
22,128,64,4,3,32,128,0.2,1e-05,0.001,0.4654218533886584,0.6988505747126439,0.7525473071324598,0.5492610837438422,0.5842438911940986,0.7870689655172414,0.8799126637554585,0.7832512315270936,"[290, 229, 203, 160]",0.1113416320885202,0.3167358229598894,0.1634163208852005,0.5181075519972264
29,64,128,3,2,64,64,0.2,0.0001,0.001,0.4654218533886581,0.7281609195402302,0.7043895747599452,0.5686274509803919,0.5814776394651914,0.8363793103448276,0.8292181069958847,0.7696078431372549,"[290, 243, 204, 159]",0.1106500691562934,0.31005071461503,0.1612033195020746,0.5170169677438795
38,128,128,3,4,64,128,0.2,0.0001,0.001,0.4453665283540801,0.7309523809523809,0.7065217391304347,0.5659898477157358,0.5630359612724758,0.8169642857142857,0.85,0.7817258883248731,"[280, 230, 197, 154]",0.1071922544951592,0.30567081604426,0.1575380359612724,0.4973358832211697
