#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1
18,128,256,4,3,2,0.1,0.0001,0.0001,0.5539419087136928,0.7608024691358022,0.7709090909090905,0.5370370370370365,0.6543914246196403,0.8395061728395061,0.9090909090909091,0.8154761904761905,"[324, 275, 252, 207]",0.14661134163208864,0.41130705394190875,0.21345583876704205
20,64,256,4,4,2,0.0,0.0001,0.0001,0.5414937759336096,0.7369230769230769,0.7865168539325842,0.4872881355932199,0.6614799446749655,0.8125641025641027,0.8726591760299626,0.7846045197740112,"[325, 267, 236, 187]",0.13347164591977903,0.37275242047026286,0.19406243825330963
18,128,256,3,3,4,0.1,0.0001,0.0001,0.536652835408022,0.7263759086188992,0.8023543990086739,0.5532786885245898,0.6511065006915628,0.8273624091381102,0.8946716232961586,0.8326502732240437,"[321, 269, 244, 205]",0.1445366528354082,0.40940525587828497,0.21121319897253504
15,128,128,3,3,4,0.0,0.0001,0.001,0.5069156293222682,0.6802935010482182,0.7881679389312979,0.6281512605042017,0.6476486860304287,0.8131551362683439,0.9001272264631044,0.8235294117647058,"[318, 262, 238, 197]",0.1383125864453668,0.393326417704011,0.20252914443785813
29,64,128,4,4,4,0.1,0.0001,0.0001,0.5269709543568463,0.7172043010752689,0.7583001328021248,0.47597597597597563,0.6274204702627938,0.8,0.8764940239043825,0.740990990990991,"[310, 251, 222, 167]",0.11618257261410815,0.3297026279391425,0.170025686623197
28,64,128,3,3,2,0.1,0.0001,0.0001,0.5076071922544952,0.7010752688172042,0.7499999999999999,0.481308411214953,0.6253457814661133,0.7870967741935484,0.8577235772357723,0.7266355140186916,"[310, 246, 214, 157]",0.11065006915629344,0.30982019363762103,0.161005730092867
11,64,128,3,4,4,0.0,0.0001,0.001,0.5069156293222683,0.7601246105919002,0.7814814814814814,0.5708502024291494,0.6533540802213001,0.8302180685358256,0.9092592592592592,0.7901484480431848,"[321, 270, 247, 199]",0.14038727524204728,0.3919432918395574,0.20384311400908914
16,128,128,3,4,2,0.1,1e-05,0.001,0.45435684647302904,0.7327485380116957,0.7539682539682537,0.5530679933665005,0.5757261410788381,0.7991228070175439,0.854978354978355,0.8067993366500829,"[285, 231, 201, 163]",0.11618257261410815,0.32053941908713696,0.16778304682868997
18,64,128,4,3,4,0.0,0.0001,0.001,0.49654218533886596,0.7534313725490192,0.7793103448275861,0.6314102564102566,0.6908713692946058,0.8428921568627452,0.8862068965517241,0.8301282051282052,"[340, 290, 260, 219]",0.15421853388658374,0.43153526970954365,0.22421458209839956
14,128,128,3,4,4,0.0,1e-05,0.001,0.506224066390041,0.7252803261977574,0.7611940298507462,0.5984528832630097,0.6670124481327802,0.8137104994903162,0.8694029850746269,0.8213783403656821,"[327, 268, 237, 197]",0.14038727524204728,0.3921161825726141,0.20388263189093067
